Date,Symbol,Adj Close,Close,High,Low,Open,Volume
1/4/10,MMM,44.01673508,69.41471863,69.77424622,69.12207031,69.47324371,3640265
1/5/10,MMM,43.74103928,68.97993469,69.59030151,68.31103516,69.2307663,3405012
1/6/10,MMM,44.3613472,69.95819092,70.73578644,69.82441711,70.13378143,6301126
1/7/10,MMM,44.39316559,70.00836182,70.03344727,68.66220856,69.66555023,5346240
1/8/10,MMM,44.70596313,70.50167084,70.50167084,69.6488266,69.97491455,4073337
1/11/10,MMM,44.5257225,70.21739197,70.73578644,69.74080658,70.55184174,3500812
1/12/10,MMM,44.56283188,70.27591705,70.38461304,69.6488266,69.8829422,3626033
1/13/10,MMM,44.41966248,70.05016327,70.32608795,69.56521606,70.32608795,3709992
1/14/10,MMM,44.27122116,69.8160553,70.17558289,69.74916077,70.01672363,3150384
1/15/10,MMM,44.20230484,69.70735931,70.30936432,69.28929901,69.83277893,4730180
1/19/10,MMM,45.13014603,71.17057037,71.21237183,69.8160553,70.08361053,5382478
1/20/10,MMM,44.91805267,70.83612061,71.17893219,69.89130402,70.92809296,4390755
1/21/10,MMM,43.8470726,69.14715576,70.73578644,69.03845978,70.73578644,5720707
1/22/10,MMM,43.20022964,68.12709045,69.25585175,67.97658539,68.89632416,5751564
1/25/10,MMM,43.38578415,68.41973114,69.30602264,68.12709045,68.83779144,4050374
1/26/10,MMM,43.27974701,68.25251007,69.17224121,67.75919342,68.11036682,3753048
1/27/10,MMM,43.63497162,68.81270599,69.26421356,67.7341156,68.00167084,6060012
1/28/10,MMM,42.81319046,67.51672363,69.09699249,66.14548492,69.08026886,8157557
1/29/10,MMM,42.67533112,67.29933167,68.46154022,67.04013062,68.01839447,5199012
2/1/10,MMM,42.64883041,67.25752258,67.63378143,66.83946228,67.59197235,4344709
2/2/10,MMM,42.64351654,67.24916077,67.67558289,66.63879395,67.47491455,5609240
2/3/10,MMM,43.21082687,68.14381409,68.29431152,66.74748993,66.74748993,4067955
2/4/10,MMM,41.9966774,66.22909546,67.83444977,65.91136932,67.83444977,6353870
2/5/10,MMM,41.64144897,65.66889954,66.47157288,64.59866333,66.18729401,6467968
2/8/10,MMM,41.10596848,64.82441711,65.61872864,64.59030151,65.61872864,5271131
2/9/10,MMM,41.73687363,65.81939697,66.39632416,65.13378143,65.45150757,5085990
2/10/10,MMM,41.68387222,65.73578644,66.29598999,65.21739197,65.8862915,2924459
2/11/10,MMM,42.55868149,67.11538696,67.21572113,65.91973114,66.23745728,6607302
2/12/10,MMM,41.98079681,66.20401001,66.24581909,65.27591705,66.17057037,6509828
2/16/10,MMM,42.66473007,67.28260803,67.42475128,66.33779144,66.95652008,4328444
2/17/10,MMM,42.76881027,67.00669098,67.46655273,66.67224121,67.24080658,3701859
2/18/10,MMM,43.28645706,67.81772614,67.87625122,66.93979645,66.93979645,3232070
2/19/10,MMM,43.50526047,68.16053772,68.34448242,67.39966583,67.84281158,3848608
2/22/10,MMM,43.0569725,67.45819092,68.36120605,67.34949493,68.31939697,3618378
2/23/10,MMM,42.53929901,66.64715576,67.8010025,66.6137085,67.23244476,4762352
2/24/10,MMM,42.7314415,66.94815826,67.39130402,66.47157288,66.88963318,4222717
2/25/10,MMM,42.55533218,66.67224121,66.69732666,65.75251007,66.18729401,4911135
2/26/10,MMM,42.77412796,67.0150528,67.16555023,66.13712311,66.67224121,3856382
3/1/10,MMM,43.00360107,67.37458038,67.6839447,67.18227386,67.36621857,3043940
3/2/10,MMM,43.2971344,67.83444977,68.04347992,67.37458038,67.50836182,4025258
3/3/10,MMM,43.22776413,67.72575378,68.29431152,67.60869598,67.85953522,3411351
3/4/10,MMM,43.23842621,67.74247742,68.02675629,67.36621857,67.90133667,3133879
3/5/10,MMM,43.99624634,68.92976379,68.97993469,67.9180603,68.01839447,3758550
3/8/10,MMM,43.39319992,67.9849472,69.00502014,67.9180603,68.91304016,4338968
3/9/10,MMM,43.75608826,68.55351257,68.67057037,67.50836182,67.8511734,5082761
3/10/10,MMM,43.5266037,68.19397736,68.61203766,67.93478394,68.49497986,4287182
3/11/10,MMM,43.3665123,67.94314575,68.17726135,67.3160553,67.94314575,4841528
3/12/10,MMM,43.43056107,68.04347992,68.28594971,67.65885925,68.20233917,3523296
3/15/10,MMM,43.3665123,67.94314575,68.27759552,67.54180908,67.85953522,3136271
3/16/10,MMM,43.57998657,68.27759552,68.27759552,67.33277893,67.94314575,5073671
3/17/10,MMM,43.85749054,68.71237183,68.90467834,68.2692337,68.50334167,4771681
3/18/10,MMM,44.65267181,69.95819092,70.02508545,68.56187439,68.81270599,5907642
3/19/10,MMM,43.74008179,68.52842712,70.2341156,68.1521759,68.52842712,8223935
3/22/10,MMM,43.67603302,68.42809296,68.72909546,68.14381409,68.14381409,3895013
3/23/10,MMM,43.94821548,68.85451508,68.90467834,67.85953522,68.64548492,4967108
3/24/10,MMM,43.55329514,68.23578644,68.81270599,68.08528137,68.44481659,3710590
3/25/10,MMM,43.19039536,67.66722107,68.77090454,67.59197235,68.57023621,5911230
3/26/10,MMM,43.22776413,67.72575378,68.02675629,67.51672363,67.80936432,4563099
3/29/10,MMM,43.41988373,68.02675629,68.30267334,67.75083923,67.92642212,3710710
